Trail_CODE,Name,Type,CODE,Title,FILENAME,DESCRIPTION,Query
AFC,Avondale Forest Park - Centenary Trail,,AFC1,Forest with Mountain,AFC1.png,,
AFC,Avondale Forest Park - Centenary Trail,,AFC2,Avondale Viewing Tower,AFC2.jpg,,
AFC,Avondale Forest Park - Centenary Trail,,AFC3,Grounds of Avondale House,AFC3.jpg,,
AFC,Avondale Forest Park - Centenary Trail,,AFC4,Avondale House,AFC4.jpg,,
AFC,Avondale Forest Park - Centenary Trail,,AFC5,Avondale Beyond the Trees,AFC5.jpg,,
AFC,Avondale Forest Park - Centenary Trail,,AFC6,Avondale Beyond the Trees,AFC6.jpg,,
AFC,Avondale Forest Park - Centenary Trail,,AFC7,Map,AFC7.png,,
AFC,Avondale Forest Park - Centenary Trail,,AFC8,Avondale River,AFC8.jpg,,
AFR,Avondale Forest Park - River Walk,,AV1,Bridge,AV1.jpeg,,
AFR,Avondale Forest Park - River Walk,,AV2,Forest,AV2.jpg,,
AFR,Avondale Forest Park - River Walk,,AV3,Tower,AV3.jpg,,
AFR,Avondale Forest Park - River Walk,,AV4,Tree Top Walk,AV4.jpg,,
AFR,Avondale Forest Park - River Walk,,AV5,Forest Park,AV5.jpg,,
BCL,Ballycumber Loop,,BCL1,Ballycumber Hill,BCL1.jpg,,
BCL,Ballycumber Loop,,BCL2,Track with Wall,BCL2.jpg,,
BCL,Ballycumber Loop,,BCL3,Track,BCL3.jpg,,
BCL,Ballycumber Loop,,BCL4,Castle,BCL4.jpg,,
BCL,Ballycumber Loop,,BCL5,Map,BCL5.jpg,,
BCL,Ballycumber Loop,,BCL6,Tinahely,BCL6.jpg,,
BGWT,Blessington Greenway Walking Trail,,BGW1,Lake,BGW1.jpg,,
BGW,Ballygannon - Green Walk,,BGW1,Forest,BGW1.jpeg,,
BGWT,Blessington Greenway Walking Trail,,BGW2,Path,BGW2.jpg,,
BGW,Ballygannon - Green Walk,,BGW2,Black Stack,BGW2.jpg,,
BGWT,Blessington Greenway Walking Trail,,BGW3,Path 2,BGW3.jpg,,
BGW,Ballygannon - Green Walk,,BGW3,Forest track,BGW3.jpg,,
BGWT,Blessington Greenway Walking Trail,,BGW4,Trail over Lake,BGW4.jpg,,
,,,BGW4,Map,BGW.png,,
BGWT,Blessington Greenway Walking Trail,,BGW5,Track beside Lake,BGW5.jpeg,,
BGWT,Blessington Greenway Walking Trail,,BGW6,Lake 2,BGW6.jpg,,
BHL,Bray Head Loop Walk,POI,BHW1,Trail with Sea Views,BHW1.jpg,,
BHL,Bray Head Loop Walk,POI,BHW2,Bray Head Cross,BHW2.jpeg,,
BHL,Bray Head Loop Walk,POI,BHW3,View of Bray,BHW3.jpg,,
BRW,Ballygannon - Red Walk,,BRW1,Forest path,BRW1.jpg,,
BRW,Ballygannon - Red Walk,,BRW2,Trailhead Sign,BRW2.jpg,,
BRW,Ballygannon - Red Walk,,BRW3,Rathdrum,BRW3.jpg,,
